quantity,underlying,symbol,actype,porc,exchange,actdate
4001,AAPL,2AAPL,C,C,CBOE,08/26/2026,
4001,AAPL,2AAPL,M,C,CBOE,08/26/2026,
4000,AAPL,2AAPL,C,P,CBOE,08/26/2026,
4000,AAPL,2AAPL,M,P,CBOE,08/26/2026,
4000,AAPL,2AAPL,C,C,AMEX,08/26/2026,
4000,AAPL,2AAPL,M,C,AMEX,08/26/2026,
4000,AAPL,2AAPL,C,P,AMEX,08/26/2026,
4000,AAPL,2AAPL,M,P,AMEX,08/26/2026,
98333,AAPL,AAPL,C,C,CBOE,08/26/2026,
1122,AAPL,AAPL,F,C,CBOE,08/26/2026,
93317,AAPL,AAPL,M,C,CBOE,08/26/2026,
51396,AAPL,AAPL,C,P,CBOE,08/26/2026,
2846,AAPL,AAPL,F,P,CBOE,08/26/2026,
52846,AAPL,AAPL,M,P,CBOE,08/26/2026,
77512,AAPL,AAPL,C,C,AMEX,08/26/2026,
909,AAPL,AAPL,F,C,AMEX,08/26/2026,
77697,AAPL,AAPL,M,C,AMEX,08/26/2026,
40733,AAPL,AAPL,C,P,AMEX,08/26/2026,
3557,AAPL,AAPL,F,P,AMEX,08/26/2026,
44866,AAPL,AAPL,M,P,AMEX,08/26/2026,
157726,AAPL,AAPL,C,C,PHLX,08/26/2026,
663,AAPL,AAPL,F,C,PHLX,08/26/2026,
157649,AAPL,AAPL,M,C,PHLX,08/26/2026,
74818,AAPL,AAPL,C,P,PHLX,08/26/2026,
1309,AAPL,AAPL,F,P,PHLX,08/26/2026,
74523,AAPL,AAPL,M,P,PHLX,08/26/2026,
103821,AAPL,AAPL,C,C,ARCA,08/26/2026,
1061,AAPL,AAPL,F,C,ARCA,08/26/2026,
94374,AAPL,AAPL,M,C,ARCA,08/26/2026,
53325,AAPL,AAPL,C,P,ARCA,08/26/2026,
796,AAPL,AAPL,F,P,ARCA,08/26/2026,
50061,AAPL,AAPL,M,P,ARCA,08/26/2026,
22568,AAPL,AAPL,C,C,SPHR,08/26/2026,
545,AAPL,AAPL,F,C,SPHR,08/26/2026,
24907,AAPL,AAPL,M,C,SPHR,08/26/2026,
10896,AAPL,AAPL,C,P,SPHR,08/26/2026,
1068,AAPL,AAPL,F,P,SPHR,08/26/2026,
12268,AAPL,AAPL,M,P,SPHR,08/26/2026,
54072,AAPL,AAPL,C,C,ISE,08/26/2026,
348,AAPL,AAPL,F,C,ISE,08/26/2026,
55436,AAPL,AAPL,M,C,ISE,08/26/2026,
27366,AAPL,AAPL,C,P,ISE,08/26/2026,
702,AAPL,AAPL,F,P,ISE,08/26/2026,
28776,AAPL,AAPL,M,P,ISE,08/26/2026,
7014,AAPL,AAPL,C,C,NSDQ,08/26/2026,
394,AAPL,AAPL,F,C,NSDQ,08/26/2026,
17820,AAPL,AAPL,M,C,NSDQ,08/26/2026,
5466,AAPL,AAPL,C,P,NSDQ,08/26/2026,
